M_CZT_Points,RMSE_FFT_CZT_Hz,Time_FFT_CZT_s,RMSE_Macleod_CZT_Hz,Time_Macleod_CZT_s,CRLB_RMSE_Hz
16,988.328465476011,8.908198e-05,381.922408803183,8.90050599999999e-05,191.051748628658
24,776.221288865701,9.15881199999999e-05,378.626225237763,9.186044e-05,190.996397063785
32,619.87427055776,8.942098e-05,384.398208362918,8.96545e-05,190.888745095977
40,545.34929823571,9.15721e-05,382.357147608662,9.16347399999999e-05,190.711661567493
48,516.243624336092,9.46474799999999e-05,387.139389665328,9.450714e-05,190.448401383552
56,473.900492174417,9.530788e-05,382.877050215914,9.55956000000001e-05,190.082810124994
64,454.359022893297,9.366368e-05,382.389163706962,9.349392e-05,189.599563712652
72,441.546535828796,9.331506e-05,383.350254761846,9.368438e-05,188.98443466722
80,429.771836760703,9.180892e-05,379.050499636636,9.22079e-05,188.224573995524
88,417.827465944497,9.719382e-05,376.93524085294,9.741156e-05,187.308795454515
96,418.279778097112,0.0001046724,381.817186671555,0.00010480222,186.227847214964
104,416.065915241053,0.00010201912,384.127316610041,0.00010240958,184.974655079592
112,411.3760855193,0.0001031332,384.828497515308,0.00010333544,183.544521663522
120,398.330917883111,0.00010187568,373.681465073077,0.0001024897,181.935267472925
128,405.058230331819,0.00010363008,384.102663713526,0.00010374038,180.147302628903
136,394.335042679458,0.00010732196,377.588169454204,0.00010781206,178.183621917994
144,401.160101242662,0.0001231558,383.825992004324,0.00012322084,176.049720585055
152,401.876760458479,0.00012380478,387.897908534554,0.000124139,173.753433368907
160,397.041271613181,0.0001249324,383.318426461916,0.00012539568,171.304704201769
168,388.596176673665,0.00012148822,376.325429472377,0.0001220129,168.715298248805
176,389.310278965911,0.00012441176,378.389602327635,0.00012436482,165.998471141077
184,387.808588240823,0.00012427236,378.16799725815,0.0001253295,163.168612088903
192,393.26507241065,0.00012539952,385.112291136544,0.00012565734,160.240877966418
200,393.068945119906,0.00012575716,385.393913273095,0.0001264496,157.230834521997
208,391.628961894594,0.0001263968,384.295505455669,0.00012727734,154.154118828445
216,392.446462524519,0.0001260495,384.259302139283,0.000126872,151.026134271122
224,390.315205524191,0.00012526752,384.196670904338,0.00012597418,147.86178614703
232,379.180496322556,0.00012433996,372.751101727656,0.000125574,144.67526266153
240,386.713370977426,0.00012478626,381.083571590048,0.00012597514,141.479863051266
248,396.941672278634,0.00012674804,390.535025158135,0.0001273407,138.287871940338
256,386.654035042201,0.00013011992,380.864693567333,0.00012839814,135.110476971678
