M_CZT_Points,RMSE_FFT_CZT_Hz,Time_FFT_CZT_s,RMSE_Macleod_CZT_Hz,Time_Macleod_CZT_s,CRLB_RMSE_Hz
16,977.735532301958,9.82092900000001e-05,383.061040477188,9.83390700000001e-05,191.051748628658
32,620.622197535738,9.749698e-05,383.436354151696,9.744424e-05,190.888745095977
48,503.264437480225,9.999597e-05,384.347005016551,0.0001001884,190.448401383552
64,460.861034031423,9.83206400000001e-05,386.093113495218,9.824528e-05,189.599563712652
80,433.341796364427,9.96679999999999e-05,384.237848362283,9.99786400000001e-05,188.224573995524
96,422.578242748524,0.00010116355,386.18577726401,0.00010151437,186.227847214964
112,405.75346489142,0.00010862088,378.676836916158,0.0001092198,183.544521663522
128,404.515751171214,0.00011754258,383.862635893991,0.00011856326,180.147302628903
144,398.141305171377,0.00012989287,381.278706133732,0.00013045661,176.049720585055
160,397.051046959554,0.00013064917,383.786974373841,0.00013200097,171.304704201769
176,394.867758832197,0.00013748468,383.147992190078,0.00013800656,165.998471141077
192,392.53868459083,0.00013239604,382.169472925187,0.0001340134,160.240877966418
208,388.816833188089,0.00013503743,380.717596115548,0.00013626617,154.154118828445
224,390.12213604043,0.00013226685,383.753426223179,0.00013417826,147.86178614703
240,389.192986234802,0.00013953827,383.458236192965,0.00014257817,141.479863051266
256,388.900018206152,0.00013952593,383.504983609908,0.0001387714,135.110476971678
