I_Observations,MSE_VA,MSE_MIMO,MSE_ILS,CRB_VA,CRB_MIMO
4.0,0.04853923704956023,0.0760690088537002,0.27229964811337154,0.0024752475247524753,0.001443894389438944
5.0,0.014787774619703266,0.009876107728120139,0.0506463859926476,0.0019801980198019802,0.0011551155115511551
6.0,0.01705411029189754,0.009502327445066249,0.08205019066996914,0.0016501650165016502,0.0009625962596259627
7.0,0.03659767279849442,0.012166455944326754,0.13626969762831284,0.0014144271570014145,0.0008250825082508252
8.0,0.02226827828404748,0.008702225466880313,0.09870065722181585,0.0012376237623762376,0.000721947194719472
9.0,0.08544531431613728,0.08988094203640318,0.2639283014660445,0.0011001100110011,0.0006417308397506417
10.0,0.011326400846335731,0.007487976403488119,0.09821204268207687,0.0009900990099009901,0.0005775577557755776
11.0,0.012207104258467341,0.01045767630640266,0.17330037812917648,0.0009000900090009,0.000525052505250525
12.0,0.06700097334604826,0.027769279590941026,0.17734235083262478,0.0008250825082508251,0.00048129812981298134
13.0,0.008615598975042967,0.007933188764265872,0.11788456309737728,0.0007616146230007616,0.00044427519675044433
14.0,0.02030158065651305,0.009981821832363505,0.11306005306176833,0.0007072135785007072,0.0004125412541254126
15.0,0.007025942235737217,0.032208233965496456,0.13306414256473306,0.0006600660066006601,0.00038503850385038506
16.0,0.007202835803490716,0.004873488736764503,0.09720218010178319,0.0006188118811881188,0.000360973597359736
17.0,0.0078093573935446615,0.006036005836224685,0.10981374612451177,0.0005824111822947001,0.00033973985633857506
18.0,0.009702431001968319,0.00847302185550119,0.14751674774076012,0.00055005500550055,0.00032086541987532086
19.0,0.014233730276619474,0.027679760482660017,0.16653457542712785,0.0005211047420531526,0.0003039777661976724
20.0,0.010062236330535233,0.004919337683329477,0.08277780987077837,0.0004950495049504951,0.0002887788778877888
21.0,0.07031108282926861,0.022094582690163383,0.2116143523013704,0.0004714757190004715,0.00027502750275027507
22.0,0.006660039410989519,0.004218220922473098,0.054759394422117615,0.00045004500450045,0.0002625262526252625
23.0,0.005708548658509009,0.006888509850606069,0.0970889457241348,0.00043047783039173483,0.000251112067728512
24.0,0.0067454813637878586,0.009270991027501058,0.18250024596841916,0.00041254125412541255,0.00024064906490649067
25.0,0.010968174950458163,0.008319396069885637,0.16792990743576577,0.00039603960396039607,0.00023102310231023105
26.0,0.00607775179112153,0.02626291739590414,0.0982053296681087,0.0003808073115003808,0.00022213759837522217
27.0,0.004952822789986264,0.0041054923822187875,0.12322340023207705,0.0003667033370003667,0.0002139102799168806
28.0,0.007811446291269452,0.004291029972335514,0.07230613480037314,0.0003536067892503536,0.0002062706270627063
29.0,0.012687722501863537,0.00660606618056225,0.12984023190415322,0.0003414134516899966,0.0001991578468191647
30.0,0.007396588847089166,0.0037763194588675054,0.1051449565221421,0.00033003300330033004,0.00019251925192519253
31.0,0.003562227627915043,0.0026894131870378235,0.05744393037371748,0.00031938677738741617,0.00018630895347599279
32.0,0.005721923950360133,0.0028900032713492204,0.035974267534565695,0.0003094059405940594,0.000180486798679868
33.0,0.006916167956711112,0.003156051333923216,0.08697959582209137,0.00030003000300030005,0.00017501750175017504
34.0,0.007570522720494064,0.0032372157304208543,0.04121105245126281,0.00029120559114735004,0.00016986992816928753
35.0,0.004517957726418021,0.0027350581470417202,0.05028837374390261,0.0002828854314002829,0.00016501650165016502
36.0,0.030641596244814214,0.007494084734863752,0.18126530852665482,0.000275027502750275,0.00016043270993766043
