SNR_dB,MSE_VA,MSE_MIMO,MSE_ILS,CRB_VA,CRB_MIMO
0.0,1.5910797908406062,1.393207296242759,2.138937181849255,0.08333333333333333,0.04861111111111111
3.3333333333333335,1.670742245469158,1.2598264926449432,2.2868719625773855,0.052835668842134774,0.03082080682457862
6.666666666666667,0.32646796337991346,0.21121249681984394,0.9233382335345136,0.029542505060571052,0.017233127951999782
10.0,0.11775093269172528,0.2448658296939792,1.0690092442098182,0.015151515151515152,0.00883838383838384
13.333333333333334,0.18182705970709662,0.1024549343936754,0.6398873136352048,0.007392836324050242,0.004312487855695975
16.666666666666668,0.03149264905773514,0.022791686590508356,0.2901551452914131,0.0035149961861977307,0.0020504144419486764
20.0,0.01605808260086232,0.010816410634939804,0.1068256255827062,0.0016501650165016502,0.0009625962596259627
23.333333333333336,0.027083841356917816,0.008814862735555951,0.13899385999141547,0.0007700240041163427,0.0004491806690678666
26.666666666666668,0.0064060070948569366,0.004523849780330292,0.10117424651436133,0.00035830051328337314,0.00020900863274863433
30.0,0.1573669606758983,0.0956752462279095,0.138957195369285,0.0001665001665001665,9.712509712509713e-05
