Error_StdDev,MSE_VA,MSE_MIMO,MSE_ILS,CRB_VA,CRB_MIMO
0.05,0.024019262678859586,0.009640770337917125,0.09257022272874398,0.0016501650165016502,0.0009625962596259627
0.1,0.027154757133547123,0.010599856956851297,0.0777011581320703,0.0016501650165016502,0.0009625962596259627
0.15000000000000002,0.024605077334492676,0.01333037650322911,0.05789523086559376,0.0016501650165016502,0.0009625962596259627
0.2,0.03829468292862215,0.018551744374024584,0.06684600879499185,0.0016501650165016502,0.0009625962596259627
0.25,0.025684203113880387,0.01398078388500533,0.2001168208539044,0.0016501650165016502,0.0009625962596259627
0.3,0.014319908632170121,0.011206521314922144,0.09805549062118242,0.0016501650165016502,0.0009625962596259627
0.35000000000000003,0.03731429160556256,0.02687378125269733,0.20365757113982472,0.0016501650165016502,0.0009625962596259627
0.4,0.019248209549328536,0.022335594248166148,0.3332783854153349,0.0016501650165016502,0.0009625962596259627
0.45,0.05459895554110612,0.04317593118203278,0.4193631537584046,0.0016501650165016502,0.0009625962596259627
0.5,0.04016131739625373,0.16311559753012067,0.6679248585193349,0.0016501650165016502,0.0009625962596259627
