Error_Variance,MSE_VA,MSE_MIMO,MSE_ILS,CRB_VA,CRB_MIMO
0.05,0.09619298610419066,0.05103787614632979,0.389084427071139,0.005108905005285919,0.002980194586416786
0.1,0.11352970828522473,0.07184757737798407,0.5596673637940235,0.005108905005285919,0.002980194586416786
0.15000000000000002,0.12695163736412465,0.09885297572588606,0.7439907806974034,0.005108905005285919,0.002980194586416786
0.2,0.18788237844083436,0.11035980737229449,1.001890849328974,0.005108905005285919,0.002980194586416786
0.25,0.49557958458863577,0.33360340885986856,1.3843793943693847,0.005108905005285919,0.002980194586416786
0.3,0.22928765636882614,0.29006816493774384,1.5529124119447366,0.005108905005285919,0.002980194586416786
0.35000000000000003,0.3089692703435242,0.26583937493062115,1.9235311843368543,0.005108905005285919,0.002980194586416786
0.4,0.3784888049543273,0.34424056703091516,2.2776361093575783,0.005108905005285919,0.002980194586416786
0.45,0.3615150680590466,0.27528306586737605,2.4978398948886316,0.005108905005285919,0.002980194586416786
0.5,0.5229861787115788,0.4689152562959478,3.214856724433865,0.005108905005285919,0.002980194586416786
