SNR_dB,MSE_VA,MSE_MIMO,MSE_ILS,CRB_VA,CRB_MIMO
0.0,1.336821821027653,0.8262495055279929,1.510929356854795,0.08333333333333333,0.04861111111111111
2.7777777777777777,1.116600417425159,1.0578247758411337,2.0436162335434425,0.057555898283797265,0.03357427399888174
5.555555555555555,1.010521831378107,0.6012893702830789,1.7129248078207242,0.03628067633214191,0.021163727860416114
8.333333333333332,0.4011919837441698,0.25905227317051127,1.1338279491764987,0.021332184629446468,0.012443774367177108
11.11111111111111,0.3116467372812525,0.16217448287493044,0.7857340309590743,0.011977054851641532,0.006986615330124228
13.88888888888889,0.08220699361914256,0.06589185920992492,0.45899580919208244,0.006539956970660217,0.0038149748995517934
16.666666666666664,0.06281141401704823,0.038157548135422985,0.2742206758446202,0.003514996186197733,0.0020504144419486777
19.444444444444443,0.02718093880826819,0.0331045335523127,0.14876690003125226,0.0018728221671768925,0.001092479597519854
22.22222222222222,0.049182839526172674,0.027250156597314838,0.11189750596884315,0.0009931864210278663,0.0005793587455995887
25.0,0.016558310541724137,0.0063752015939259775,0.06140081886717481,0.0005253848638767019,0.00030647450392807613
