SNR_dB,MSE_VA,MSE_MIMO,MSE_ILS,CRB_VA,CRB_MIMO
0.0,0.6564000035382926,0.6255356397189791,1.3179836957699222,0.08333333333333333,0.04861111111111111
2.7777777777777777,0.5362374877005055,0.4674269287618251,1.3600349467159003,0.057555898283797265,0.03357427399888174
5.555555555555555,1.8101655328602526,5.520008871987264,6.792552222868392,0.03628067633214191,0.021163727860416114
8.333333333333332,0.3644569334170551,0.2654750257642446,1.0743813840897787,0.021332184629446468,0.012443774367177108
11.11111111111111,0.22098082281780712,0.11888040648652415,0.8753843989951469,0.011977054851641532,0.006986615330124228
13.88888888888889,0.05990062062580338,0.4806507030628756,0.8935296366075818,0.006539956970660217,0.0038149748995517934
16.666666666666664,0.05302990556974731,0.0498428549603748,0.38030460512958597,0.003514996186197733,0.0020504144419486777
19.444444444444443,0.019459288847845427,0.010893508115796606,0.04311494037660455,0.0018728221671768925,0.001092479597519854
22.22222222222222,0.00835885256971774,0.006653486392168798,0.08895345128291268,0.0009931864210278663,0.0005793587455995887
25.0,0.008851336546323982,0.004722821459549982,0.0454701654434279,0.0005253848638767019,0.00030647450392807613
