Error_StdDev,MSE_VA,MSE_MIMO,MSE_ILS,CRB_VA,CRB_MIMO
0.05,0.01590457731767272,0.01117735400772514,0.09934782074515898,0.0016501650165016502,0.0009625962596259627
0.1,0.019250539254674508,0.010171067057087868,0.09947032709462925,0.0016501650165016502,0.0009625962596259627
0.15000000000000002,0.01953919125797162,0.010268640193329324,0.06962613432343878,0.0016501650165016502,0.0009625962596259627
0.2,0.014022622107489113,0.051682250006701874,0.15336562449248478,0.0016501650165016502,0.0009625962596259627
0.25,0.050646747498039046,0.020984726980895547,0.23056893648010973,0.0016501650165016502,0.0009625962596259627
0.3,0.04532803061632957,0.020465144407164203,0.26160485448905413,0.0016501650165016502,0.0009625962596259627
0.35000000000000003,0.02163873694767929,0.017473283848771712,0.22206593351369017,0.0016501650165016502,0.0009625962596259627
0.4,0.0646255411118356,0.07856404240463752,0.5989345664892167,0.0016501650165016502,0.0009625962596259627
0.45,0.04846966484493337,0.02736029211055254,0.46115969400393675,0.0016501650165016502,0.0009625962596259627
0.5,0.16260662347532778,0.08010131127061557,0.7402774084982596,0.0016501650165016502,0.0009625962596259627
