SNR_dB,MSE_VA,MSE_MIMO,MSE_ILS,CRB_VA,CRB_MIMO
0.0,0.6399280467506892,0.5736431419686246,1.229751966875031,0.08333333333333333,0.04861111111111111
2.7777777777777777,1.2668279956199313,0.9019267119768195,1.6252112916863866,0.057555898283797265,0.03357427399888174
5.555555555555555,0.4432456868133454,9.458571048851285,8.827308858967008,0.03628067633214191,0.021163727860416114
8.333333333333332,0.27101980018813515,0.12552483663338035,0.8904518805029309,0.021332184629446468,0.012443774367177108
11.11111111111111,0.11507415584198384,0.08227624815419217,0.7602548112677163,0.011977054851641532,0.006986615330124228
13.88888888888889,0.0968195468540515,0.04701576181004038,0.3623667489497713,0.006539956970660217,0.0038149748995517934
16.666666666666664,0.05159280872988811,0.04733455566504647,0.3635296610165961,0.003514996186197733,0.0020504144419486777
19.444444444444443,0.025568999338606842,0.021236039023530183,0.1618581636856242,0.0018728221671768925,0.001092479597519854
22.22222222222222,0.011933382774006912,0.00952929061084427,0.054435733322861946,0.0009931864210278663,0.0005793587455995887
25.0,0.006476526802674635,0.002638273525874568,0.022530603971679396,0.0005253848638767019,0.00030647450392807613
