I_Observations,MSE_VA,MSE_MIMO,MSE_ILS,CRB_VA,CRB_MIMO
4.0,0.027926524593075888,0.013549969821707112,0.056926067088640855,0.0024752475247524753,0.001443894389438944
5.0,0.04671665897752954,0.020370340745472438,0.18216008556539637,0.0019801980198019802,0.0011551155115511551
6.0,0.021595759036341287,0.040804206650933594,0.17795586134167823,0.0016501650165016502,0.0009625962596259627
7.0,0.010842651432066452,0.008358872089566425,0.09999882016661125,0.0014144271570014145,0.0008250825082508252
8.0,0.02145951421996879,0.01551264305874793,0.21519107913117705,0.0012376237623762376,0.000721947194719472
9.0,0.011934483767415884,0.011607106187324245,0.09030741426111259,0.0011001100110011,0.0006417308397506417
10.0,0.015598903857782776,0.007900727331431268,0.13809939393967477,0.0009900990099009901,0.0005775577557755776
11.0,0.00980280409336071,0.005667907323304614,0.06802521051350627,0.0009000900090009,0.000525052505250525
12.0,0.010377803032081988,0.007118493067109146,0.1137083280616995,0.0008250825082508251,0.00048129812981298134
13.0,0.02823247531367452,0.009609557858891228,0.16430175410971123,0.0007616146230007616,0.00044427519675044433
14.0,0.011853548693064167,0.006494943871962645,0.06867038238515125,0.0007072135785007072,0.0004125412541254126
15.0,0.008967965790076186,0.004924375855102153,0.09388628228211603,0.0006600660066006601,0.00038503850385038506
16.0,0.007820519528941803,0.004869012225948546,0.11098236310120532,0.0006188118811881188,0.000360973597359736
17.0,0.007493376275240582,0.007712545057299751,0.06907742514075633,0.0005824111822947001,0.00033973985633857506
18.0,0.012748780196973356,0.004841804059157577,0.07215259918411406,0.00055005500550055,0.00032086541987532086
19.0,0.00699676077617255,0.005464805406823406,0.06084899473294328,0.0005211047420531526,0.0003039777661976724
20.0,0.020658569710759904,0.007631652659755473,0.15149370744645899,0.0004950495049504951,0.0002887788778877888
21.0,0.011550523422599828,0.004489294764768043,0.05004595075585158,0.0004714757190004715,0.00027502750275027507
22.0,0.004298442974120757,0.0029167931008747478,0.04153039909035818,0.00045004500450045,0.0002625262526252625
23.0,0.005909500762883977,0.004187882815466182,0.05507661774565821,0.00043047783039173483,0.000251112067728512
24.0,0.005461233149979673,0.005029311734734176,0.07926794542889379,0.00041254125412541255,0.00024064906490649067
25.0,0.010840490152831199,0.004789873513400634,0.06253260636415317,0.00039603960396039607,0.00023102310231023105
26.0,0.010450814493449024,0.005214651401301801,0.135174091343925,0.0003808073115003808,0.00022213759837522217
27.0,0.005454645244786025,0.0035986320888079333,0.05549603129162373,0.0003667033370003667,0.0002139102799168806
28.0,0.007184740312434824,0.003319192740267412,0.059205363059637764,0.0003536067892503536,0.0002062706270627063
29.0,0.00656282737976369,0.005237059906715282,0.10280041644813558,0.0003414134516899966,0.0001991578468191647
