Error_Variance,MSE_VA,MSE_MIMO,MSE_ILS,CRB_VA,CRB_MIMO
0.05,0.07200723822669826,0.03733774493576092,0.28566737127292563,0.005108905005285919,0.002980194586416786
0.1,0.1046806343542075,0.07555767979113043,0.43902803902824183,0.005108905005285919,0.002980194586416786
0.15000000000000002,0.09713795970945424,0.05844154888430119,0.5118022219409878,0.005108905005285919,0.002980194586416786
0.2,0.1212120716028504,0.21836008685087954,0.8265905963193092,0.005108905005285919,0.002980194586416786
0.25,0.2060701561970467,0.29749529625537624,1.5346152179096786,0.005108905005285919,0.002980194586416786
0.3,0.4373744361153468,0.2237097358758759,1.5810125958482695,0.005108905005285919,0.002980194586416786
0.35000000000000003,0.27339183948235485,0.16844105485069402,2.071760514290013,0.005108905005285919,0.002980194586416786
0.4,0.20845478872722825,0.16514441613751715,2.249156586549287,0.005108905005285919,0.002980194586416786
0.45,0.22371384348741244,0.2042629428029793,2.5021360108523854,0.005108905005285919,0.002980194586416786
0.5,0.5370715204864098,0.4527616914767551,2.935631527139665,0.005108905005285919,0.002980194586416786
