I_Observations,MSE_VA,MSE_MIMO,MSE_ILS,CRB_VA,CRB_MIMO
4.0,0.02944852745318021,0.017979708172951053,0.13197055416593279,0.0024752475247524753,0.001443894389438944
5.0,0.040131436448864174,0.021605469729178095,0.10569336977153368,0.0019801980198019802,0.0011551155115511551
6.0,0.021206479669263197,0.017822300012476488,0.13166620486322606,0.0016501650165016502,0.0009625962596259627
7.0,0.019529610354537652,0.014422061937463142,0.11614054046300151,0.0014144271570014145,0.0008250825082508252
8.0,0.021598385454023726,0.009772949005599451,0.12935481427598697,0.0012376237623762376,0.000721947194719472
9.0,0.023100707737879894,0.01934320413713307,0.18481665504301228,0.0011001100110011,0.0006417308397506417
10.0,0.012418270673516734,0.007625520459967356,0.09916351800928197,0.0009900990099009901,0.0005775577557755776
11.0,0.018120737928955882,0.008238840188179384,0.14215175571320735,0.0009000900090009,0.000525052505250525
12.0,0.028081972201008013,0.009541816647585978,0.10215853044133129,0.0008250825082508251,0.00048129812981298134
13.0,0.012985322458116082,0.0066743981005670935,0.07618111742849742,0.0007616146230007616,0.00044427519675044433
14.0,0.01170281508776433,0.007783869333453829,0.12970713100204478,0.0007072135785007072,0.0004125412541254126
15.0,0.012140025516798398,0.008456070906515902,0.13670324210621396,0.0006600660066006601,0.00038503850385038506
16.0,0.014004835770744952,0.006475616663442561,0.10585780362720529,0.0006188118811881188,0.000360973597359736
17.0,0.014502450063104806,0.006828847416255734,0.09069087063561025,0.0005824111822947001,0.00033973985633857506
18.0,0.008663522345628118,0.007870924917393352,0.10323178118082131,0.00055005500550055,0.00032086541987532086
19.0,0.00915486100981432,0.006134005828166097,0.08491126816975404,0.0005211047420531526,0.0003039777661976724
20.0,0.010169445237234143,0.0117640358155213,0.08114148079512898,0.0004950495049504951,0.0002887788778877888
21.0,0.010201099954367396,0.005828309355505495,0.09781492811096362,0.0004714757190004715,0.00027502750275027507
22.0,0.007904068400061666,0.005455672125845746,0.1065409317289922,0.00045004500450045,0.0002625262526252625
23.0,0.007470777460450784,0.005093121980665626,0.08964418838263195,0.00043047783039173483,0.000251112067728512
24.0,0.008616264244595263,0.004960402857807188,0.10296260758425815,0.00041254125412541255,0.00024064906490649067
25.0,0.03754445253538955,0.006902604845880944,0.12706402708447345,0.00039603960396039607,0.00023102310231023105
26.0,0.008314445626801418,0.004533923511946732,0.07006436594377034,0.0003808073115003808,0.00022213759837522217
27.0,0.005891887620933167,0.004800975740767411,0.07807906155250832,0.0003667033370003667,0.0002139102799168806
28.0,0.010554069650829292,0.0037864189711358832,0.08389570332314218,0.0003536067892503536,0.0002062706270627063
29.0,0.006985833738596419,0.004272764745359176,0.10691496928780725,0.0003414134516899966,0.0001991578468191647
30.0,0.009442223569531167,0.012096084375797884,0.09158743284659276,0.00033003300330033004,0.00019251925192519253
31.0,0.005385686209708703,0.005214591895587364,0.06136614520942002,0.00031938677738741617,0.00018630895347599279
32.0,0.005656277716866951,0.0038090747119607672,0.09336778247212049,0.0003094059405940594,0.000180486798679868
33.0,0.031563176088861694,0.008777749329357171,0.1004385024888897,0.00030003000300030005,0.00017501750175017504
34.0,0.0076952561301080365,0.0038079794341731254,0.06884498507580415,0.00029120559114735004,0.00016986992816928753
